"X","Y"
6.456484,53.6348
6.471019,53.633826
6.485552,53.632841
6.500085,53.631864
6.514616,53.630876
6.529148,53.629887
6.41125,53.629089
6.425783,53.628112
6.440316,53.627142
6.454848,53.626161
6.469364,53.625188
6.483894,53.624203
6.498424,53.623227
6.512953,53.622239
6.527482,53.621249
6.542009,53.620258
6.556536,53.619274
6.395092,53.621416
6.409623,53.62045
6.424138,53.619473
6.438668,53.618503
6.453197,53.617523
6.467725,53.61655
6.482253,53.615565
6.49678,53.614589
6.511291,53.613602
6.525816,53.612612
6.540341,53.61163
6.554865,53.610638
6.569374,53.609643
6.583896,53.608647
6.378925,53.613751
6.393453,53.612777
6.407982,53.611811
6.422509,53.610843
6.437036,53.609865
6.451562,53.608894
6.466072,53.607911
6.480597,53.606937
6.495121,53.605951
6.509644,53.604964
6.524152,53.603984
6.538674,53.602993
6.553195,53.602001
6.567715,53.601006
6.58222,53.60001
6.596739,53.599012
6.362778,53.606074
6.377305,53.605111
6.391831,53.604138
6.406356,53.603172
6.42088,53.602204
6.435389,53.601226
6.449912,53.600255
6.464435,53.599273
6.478957,53.598298
6.493463,53.597313
6.507983,53.596335
6.522503,53.595346
6.537007,53.594356
6.551525,53.593363
6.566042,53.59237
6.580545,53.591383
6.595061,53.590385
6.609576,53.589386
6.361162,53.597434
6.375686,53.596472
6.390209,53.595508
6.404715,53.594533
6.419237,53.593566
6.433758,53.592596
6.448279,53.591617
6.462783,53.590644
6.477302,53.58966
6.49182,53.588684
6.506323,53.587698
6.52084,53.586709
6.535356,53.585719
6.549856,53.584736
6.564371,53.583742
6.57887,53.582746
6.593383,53.581749
6.607896,53.58075
6.622393,53.579749
6.301471,53.592634
6.315995,53.591679
6.330517,53.590722
6.345025,53.589764
6.359546,53.588794
6.374067,53.587832
6.388587,53.586868
6.403091,53.585903
6.41761,53.584927
6.432113,53.583958
6.446631,53.582987
6.461147,53.582005
6.475648,53.581031
6.490163,53.580046
6.504678,53.57906
6.519177,53.57808
6.53369,53.57709
6.548188,53.576099
6.5627,53.575105
6.577196,53.57411
6.591706,53.573112
6.606216,53.572114
6.62071,53.571113
6.635218,53.570111
6.241793,53.587786
6.256317,53.586848
6.27084,53.585898
6.285361,53.584947
6.299867,53.583993
6.314388,53.583038
6.328908,53.582082
6.343412,53.581123
6.357931,53.580163
6.372449,53.579201
6.386951,53.578229
6.401468,53.577263
6.415968,53.576297
6.430483,53.575319
6.444998,53.574348
6.459497,53.573367
6.47401,53.572393
6.488507,53.571409
6.503019,53.570431
6.51753,53.569443
6.532025,53.568453
6.546535,53.56747
6.561029,53.566477
6.575537,53.565482
6.59003,53.564485
6.604537,53.563486
6.619028,53.562486
6.633533,53.561484
6.153112,53.584776
6.167621,53.583849
6.182144,53.58291
6.196667,53.581978
6.211175,53.581035
6.225696,53.580091
6.240217,53.579154
6.254723,53.578206
6.269242,53.577257
6.283761,53.576306
6.298265,53.575353
6.312782,53.574398
6.327299,53.573441
6.341801,53.572483
6.356316,53.571523
6.370816,53.570562
6.385331,53.569598
6.399844,53.568625
6.414342,53.567658
6.428855,53.566689
6.443351,53.56571
6.457862,53.564738
6.472357,53.563755
6.486867,53.562779
6.501361,53.561793
6.515869,53.560814
6.530361,53.559824
6.544868,53.558833
6.559359,53.55784
6.573865,53.556845
6.588354,53.555848
6.602858,53.55485
6.617346,53.55385
6.631834,53.552848
6.646336,53.551844
6.733273,53.545778
6.747754,53.544753
6.762251,53.543736
6.776731,53.542708
6.79121,53.541678
6.805705,53.540655
6.820183,53.539622
6.83466,53.538587
6.849152,53.537558
6.863628,53.53652
6.878104,53.53548
6.892578,53.534438
6.107985,53.578926
6.122508,53.577994
6.137016,53.577069
6.151538,53.576143
6.166059,53.575206
6.180565,53.574276
6.195085,53.573335
6.209605,53.572393
6.224109,53.571458
6.238627,53.570512
6.253144,53.569565
6.267646,53.568616
6.282162,53.567673
6.296663,53.566721
6.311177,53.565766
6.325691,53.56481
6.34019,53.563852
6.354703,53.562893
6.369199,53.561922
6.383711,53.560959
6.398207,53.559994
6.412717,53.559027
6.427211,53.55805
6.44172,53.55708
6.456213,53.556099
6.470721,53.555126
6.485212,53.554141
6.499718,53.553164
6.514208,53.552177
6.528713,53.551187
6.543202,53.550205
6.55769,53.549212
6.572193,53.548217
6.58668,53.547221
6.601181,53.546222
6.615666,53.545223
6.630151,53.544221
6.64465,53.543218
6.673616,53.541206
6.688112,53.540188
6.702594,53.539178
6.717074,53.538166
6.731569,53.537143
6.746048,53.536128
6.760526,53.535102
6.775004,53.534082
6.789495,53.533053
6.803972,53.53203
6.818447,53.530997
6.832922,53.529962
6.847411,53.528926
6.861884,53.527888
6.876357,53.526857
6.890828,53.525815
6.905299,53.524771
6.919784,53.523726
6.077393,53.572123
6.091915,53.571204
6.106436,53.570283
6.120942,53.56936
6.135461,53.568426
6.14998,53.5675
6.164484,53.566563
6.179002,53.565633
6.193504,53.564693
6.208021,53.56376
6.222536,53.562816
6.237037,53.56187
6.251551,53.560932
6.26605,53.559984
6.280563,53.559033
6.295061,53.55808
6.309573,53.557125
6.324084,53.556169
6.338579,53.555212
6.353089,53.554252
6.367584,53.553291
6.382092,53.552328
6.396585,53.551354
6.411077,53.550388
6.425584,53.54942
6.440075,53.548441
6.45458,53.54747
6.469069,53.546487
6.483573,53.545512
6.498061,53.544527
6.512549,53.543548
6.52705,53.542558
6.541536,53.541568
6.556037,53.540575
6.570521,53.539589
6.585005,53.538593
6.599504,53.537595
6.613986,53.536596
6.628468,53.535594
6.642964,53.534591
6.657444,53.533577
6.671924,53.53257
6.686403,53.531562
6.700897,53.530552
6.715374,53.529531
6.729851,53.528518
6.744327,53.527502
6.758817,53.526477
6.773292,53.525458
6.787766,53.524428
6.802239,53.523397
6.816727,53.522373
6.831199,53.521339
6.84567,53.520302
6.86014,53.519264
6.87461,53.518224
6.889079,53.517183
6.903547,53.51614
6.918029,53.515095
6.932496,53.514048
6.946962,53.512999
6.061347,53.564405
6.075851,53.563488
6.09037,53.562569
6.104873,53.561639
6.11939,53.560716
6.133907,53.559792
6.148408,53.558857
6.162924,53.55793
6.177424,53.556991
6.191938,53.55606
6.206437,53.555118
6.22095,53.554183
6.235462,53.553238
6.249959,53.552291
6.26447,53.551342
6.278965,53.550392
6.293475,53.549448
6.307969,53.548494
6.322477,53.547538
6.33697,53.546581
6.351462,53.545622
6.365968,53.544651
6.380459,53.543689
6.394964,53.542724
6.409453,53.541758
6.423957,53.540781
6.438445,53.539811
6.452932,53.538831
6.467434,53.537858
6.48192,53.536874
6.496405,53.535897
6.510904,53.53491
6.525389,53.53393
6.539871,53.532939
6.554369,53.531947
6.568851,53.530952
6.583332,53.529956
6.597827,53.528958
6.612307,53.527959
6.626786,53.526958
6.641264,53.525955
6.655757,53.52495
6.670234,53.523944
6.68471,53.522936
6.699185,53.521917
6.713675,53.520905
6.728149,53.519892
6.742622,53.518868
6.757095,53.517851
6.771566,53.516824
6.786053,53.515804
6.800523,53.514773
6.814993,53.51374
6.829462,53.512715
6.84393,53.511679
6.858397,53.510641
6.872864,53.509601
6.88733,53.50856
6.901795,53.507517
6.916275,53.506472
6.930739,53.505426
6.945202,53.504377
6.959664,53.503327
6.974126,53.502276
6.04529,53.556676
6.059792,53.555761
6.074309,53.554844
6.088825,53.553925
6.103325,53.553005
6.11784,53.552073
6.132339,53.551149
6.146852,53.550223
6.16135,53.549287
6.175862,53.548357
6.190358,53.547418
6.204869,53.546485
6.219364,53.545541
6.233873,53.544596
6.248367,53.543659
6.262875,53.542709
6.277368,53.541759
6.291875,53.540807
6.306366,53.539853
6.320856,53.538898
6.335361,53.53794
6.34985,53.536981
6.364354,53.536021
6.378842,53.535058
6.393329,53.534094
6.40783,53.533119
6.422316,53.532151
6.436816,53.531181
6.4513,53.530201
6.465784,53.529228
6.480282,53.528245
6.494765,53.527268
6.509246,53.526281
6.523727,53.525292
6.538223,53.524311
6.552702,53.523318
6.567181,53.522324
6.581659,53.521328
6.596152,53.520331
6.610628,53.519331
6.625104,53.518331
6.63958,53.517328
6.65407,53.516324
6.668544,53.515317
6.683017,53.514309
6.697489,53.513291
6.711961,53.51228
6.726432,53.511266
6.740918,53.510242
6.755388,53.509226
6.769857,53.508199
6.784325,53.507179
6.798792,53.506148
6.813259,53.505116
6.827725,53.50409
6.842191,53.503054
6.856655,53.502017
6.871119,53.500978
6.885582,53.499937
6.900044,53.498894
6.914521,53.497849
6.928982,53.496803
6.943443,53.495755
6.957902,53.494705
6.972346,53.493654
6.986804,53.492591
6.02924,53.548955
6.043755,53.548041
6.058254,53.547126
6.072768,53.546209
6.087266,53.545282
6.101778,53.544361
6.116275,53.543439
6.130786,53.542515
6.145281,53.54158
6.159791,53.540653
6.174285,53.539715
6.188794,53.538784
6.203287,53.537843
6.217794,53.536908
6.232285,53.535964
6.246791,53.535017
6.261282,53.534068
6.275771,53.533127
6.290275,53.532175
6.304763,53.531222
6.319266,53.530266
6.333753,53.529309
6.348239,53.52835
6.36274,53.527389
6.377225,53.526418
6.391709,53.525454
6.406207,53.524488
6.420691,53.523521
6.435173,53.522542
6.449654,53.521571
6.46415,53.52059
6.47863,53.519615
6.49311,53.51863
6.507588,53.517652
6.522081,53.516663
6.536559,53.515673
6.551036,53.514681
6.565512,53.513696
6.580002,53.512701
6.594477,53.511703
6.608951,53.510704
6.623424,53.509703
6.637896,53.508701
6.652368,53.507697
6.666854,53.506691
6.681325,53.505674
6.695794,53.504665
6.710263,53.503653
6.724731,53.502632
6.739199,53.501617
6.753666,53.500601
6.768132,53.499573
6.782598,53.498554
6.797062,53.497523
6.811526,53.496491
6.82599,53.495466
6.840452,53.494431
6.854929,53.493393
6.86939,53.492354
6.88385,53.491313
6.898295,53.49027
6.912753,53.489227
6.927212,53.48818
6.941669,53.487133
6.956125,53.486083
6.970582,53.485032
6.985037,53.483979
6.999491,53.482915
5.897131,53.548433
5.911649,53.547544
5.926151,53.546645
5.940667,53.545744
5.955183,53.54485
5.969683,53.543946
5.984198,53.543039
5.998697,53.542131
6.01321,53.541222
6.027708,53.54031
6.04222,53.539397
6.056716,53.538482
6.071227,53.537565
6.085722,53.536647
6.100232,53.535726
6.114725,53.534795
6.129234,53.533872
6.143726,53.532946
6.158218,53.53201
6.172725,53.531081
6.187215,53.530142
6.20172,53.529209
6.216209,53.528266
6.230698,53.527322
6.245201,53.526384
6.259688,53.525436
6.27419,53.524486
6.288676,53.523534
6.303162,53.522581
6.317661,53.521625
6.332145,53.520669
6.346629,53.51971
6.361111,53.51875
6.375608,53.517787
6.39009,53.516823
6.404571,53.515858
6.419066,53.514882
6.433545,53.513913
6.448024,53.512942
6.462501,53.51196
6.476979,53.510986
6.49147,53.510001
6.505946,53.509014
6.520422,53.508035
6.534896,53.507045
6.54937,53.506053
6.563858,53.505059
6.578331,53.504072
6.592802,53.503075
6.607274,53.502076
6.621744,53.501076
6.636214,53.500074
6.650683,53.49907
6.66515,53.498055
6.679618,53.497048
6.6941,53.496038
6.708566,53.495028
6.723031,53.494006
6.737496,53.492991
6.751961,53.491975
6.766424,53.490948
6.780886,53.48992
6.795348,53.488899
6.809809,53.487867
6.82427,53.486842
6.838729,53.485807
6.853188,53.484769
6.867646,53.48373
6.882104,53.48269
6.89656,53.481647
6.911001,53.480603
6.925457,53.479557
6.939911,53.47851
6.954365,53.477461
6.968818,53.47641
6.98327,53.475357
6.997722,53.474294
5.823088,53.54423
5.83759,53.543341
5.852108,53.54246
5.866624,53.541576
5.881125,53.540683
5.895641,53.539795
5.910141,53.538898
5.924655,53.538008
5.939153,53.537107
5.953666,53.536205
5.968163,53.5353
5.982675,53.534403
5.997171,53.533495
6.011682,53.532585
6.026176,53.531675
6.040686,53.530761
6.055179,53.529846
6.069687,53.52893
6.084179,53.528003
6.098671,53.527083
6.113177,53.526161
6.127667,53.525237
6.142172,53.524303
6.156661,53.523376
6.171149,53.522439
6.185652,53.521509
6.200139,53.520567
6.214626,53.519634
6.229126,53.518689
6.243611,53.517743
6.258096,53.516803
6.272595,53.515854
6.287078,53.514902
6.301561,53.513949
6.316057,53.512993
6.330538,53.512037
6.345019,53.511078
6.359499,53.510118
6.373993,53.509156
6.388472,53.508193
6.402949,53.507219
6.417427,53.506251
6.431903,53.505282
6.446394,53.504303
6.460869,53.503331
6.475343,53.502347
6.489817,53.501372
6.50429,53.500385
6.518763,53.499406
6.533234,53.498416
6.54772,53.497424
6.56219,53.496431
6.57666,53.495445
6.591129,53.494448
6.605597,53.493449
6.620065,53.492449
6.634531,53.491447
6.648998,53.490443
6.663463,53.489429
6.677927,53.488421
6.692392,53.487412
6.706855,53.486401
6.721317,53.48538
6.735779,53.484366
6.75024,53.48335
6.764701,53.482324
6.779161,53.481304
6.793619,53.480274
6.808078,53.479242
6.822535,53.478218
6.836992,53.477182
6.851448,53.476145
6.865903,53.475107
6.880358,53.474067
6.894812,53.473024
6.90925,53.471981
6.923702,53.470935
6.938154,53.469887
6.952605,53.468838
6.967055,53.467787
6.981504,53.466735
6.995938,53.465681
7.010386,53.464616
5.618415,53.547704
5.632939,53.546858
5.647446,53.546001
5.661968,53.545142
5.67649,53.544291
5.690996,53.543429
5.705516,53.542565
5.720021,53.541699
5.73454,53.540832
5.749059,53.539963
5.763562,53.539092
5.778079,53.538219
5.792581,53.537345
5.807097,53.53646
5.821597,53.535582
5.836112,53.534703
5.850627,53.533821
5.865125,53.532929
5.879638,53.532045
5.894136,53.531149
5.908648,53.530261
5.923144,53.529362
5.937655,53.528462
5.95215,53.527568
5.966644,53.526664
5.981153,53.525758
5.995646,53.52485
6.010154,53.523941
6.024646,53.52303
6.039152,53.522117
6.053643,53.521202
6.068132,53.520286
6.082637,53.519368
6.097126,53.518448
6.111629,53.517526
6.126116,53.516594
6.140603,53.515669
6.155104,53.514742
6.16959,53.513805
6.184075,53.512875
6.198559,53.511934
6.213057,53.510991
6.22754,53.510056
6.242023,53.50911
6.256519,53.508162
6.271,53.507221
6.285481,53.50627
6.29996,53.505317
6.314454,53.504362
6.328932,53.503405
6.34341,53.502447
6.357887,53.501487
6.372363,53.500526
6.386854,53.499553
6.401329,53.498588
6.415803,53.497621
6.430277,53.496652
6.44475,53.495673
6.459222,53.494701
6.473693,53.493718
6.488179,53.492742
6.50265,53.491756
6.517119,53.490768
6.531588,53.489787
6.546056,53.488796
6.560523,53.487803
6.57499,53.486807
6.589456,53.48582
6.603921,53.484822
6.618386,53.483821
6.63285,53.48282
6.647313,53.481807
6.661776,53.480801
6.676237,53.479795
6.690699,53.478786
6.705159,53.477775
6.719619,53.476754
6.734078,53.47574
6.748536,53.474724
6.762994,53.473698
6.777451,53.472679
6.791907,53.471649
6.806347,53.470618
6.820802,53.469594
6.835256,53.468558
6.849709,53.467522
6.864161,53.466483
6.878613,53.465443
6.893064,53.46441
6.907499,53.463367
6.921949,53.462321
6.936398,53.461274
6.950846,53.460216
6.965293,53.459166
6.979725,53.458113
6.994171,53.457059
7.008616,53.455995
5.587954,53.540759
5.602475,53.539908
5.616981,53.539064
5.631502,53.538208
5.646021,53.537352
5.660526,53.536502
5.675044,53.535642
5.689547,53.53478
5.704065,53.533916
5.718566,53.533051
5.733083,53.532184
5.747598,53.531315
5.762098,53.530444
5.776613,53.529572
5.791112,53.528698
5.805625,53.527822
5.820123,53.526944
5.834635,53.526056
5.849131,53.525174
5.863642,53.524292
5.878137,53.523398
5.892647,53.522512
5.907141,53.521615
5.921634,53.520725
5.936142,53.519824
5.950634,53.518923
5.965141,53.518018
5.979632,53.517121
5.994122,53.516214
6.008626,53.515305
6.023115,53.514394
6.037619,53.513481
6.052107,53.512567
6.066594,53.511651
6.081095,53.510733
6.095581,53.509813
6.110066,53.508883
6.124566,53.50796
6.13905,53.507035
6.153533,53.506099
6.168016,53.505171
6.182513,53.504232
6.196994,53.503301
6.211475,53.502358
6.225955,53.501423
6.240449,53.500477
6.254928,53.499529
6.269406,53.49858
6.283884,53.497638
6.29836,53.496685
6.312851,53.49573
6.327327,53.494774
6.341802,53.493815
6.356276,53.492856
6.370749,53.491886
6.385222,53.490922
6.399694,53.489957
6.41418,53.488991
6.428651,53.488013
6.443121,53.487043
6.457591,53.486071
6.472059,53.485088
6.486527,53.484113
6.500995,53.483127
6.515461,53.482139
6.529927,53.481158
6.544392,53.480167
6.558857,53.479174
6.573321,53.47818
6.587784,53.477192
6.602246,53.476194
6.616708,53.475194
6.631169,53.474192
6.64563,53.473189
6.660089,53.472175
6.674548,53.471168
6.689007,53.470159
6.703464,53.469149
6.717921,53.468128
6.732362,53.467114
6.746818,53.466099
6.761272,53.465073
6.775726,53.464054
6.790179,53.463024
6.804632,53.461993
6.819084,53.460969
6.83352,53.459934
6.84797,53.458897
6.86242,53.457868
6.876869,53.456828
6.891317,53.455786
6.905749,53.454743
6.920196,53.453698
6.934642,53.452651
6.949087,53.451603
6.963516,53.450544
6.97796,53.449492
6.992404,53.448438
7.006846,53.447382
5.557502,53.533797
5.572022,53.532959
5.586541,53.532109
5.601045,53.531267
5.615563,53.530414
5.630065,53.529559
5.644582,53.528712
5.659083,53.527853
5.673599,53.526993
5.688114,53.52614
5.702614,53.525277
5.717128,53.524411
5.731626,53.523544
5.746139,53.522676
5.760636,53.521805
