ID RainfallDepthPath PathLength XStart YStart XEnd YEnd IntervalNumber Frequency
1643 0 1.96491 5.71352 50.7884 5.71196 50.77077 1670 39.263
1635 0 3.57003 5.75972 50.8377 5.72764 50.86255 1670 38.003
1636 0.089907226465498 2.09412 5.89542 50.99623 5.87749 51.01128 1670 39.263
1641 0 1.29781 5.71418 50.83852 5.70909 50.84974 1670 39.252
1660 0 2.17443 5.69533 50.85803 5.71941 50.84579 1670 26.372
1634 0.332817606971153 1.56545 5.7814 50.92773 5.78804 50.94117 1670 38.003
3064 0.274139246296478 1.25152 5.71352 50.7884 5.70322 50.77924 1670 39.239
1639 0.587548946675212 1.97759 5.69289 50.87574 5.69533 50.85803 1670 38.017
1638 0.34365321361785 2.84764 5.6555 50.8625 5.69533 50.85803 1670 38.077
2898 0.475606648421633 2.60807 5.76696 50.94204 5.80344 50.94634 1670 39.172
3066 0.12666620919572 3.68172 5.73611 50.86723 5.75972 50.8377 1670 39.239
1645 0.332331052778352 1.90894 5.64607 50.84577 5.67283 50.8485 1670 39.277
1661 0.243783417800321 1.97759 5.69533 50.85803 5.69289 50.87574 1670 39.277
1646 0.321672929335841 2.58044 5.74589 50.92321 5.7246 50.90431 1670 37.912
1642 0.413588027862684 1.6459 5.83788 51.01307 5.8597 51.01851 1670 38.003
1647 0.103766237192102 1.96458 5.72797 50.82898 5.71941 50.84579 1670 37.999
1648 0.0130785560640607 4.0839 6.03574 50.91125 6.02522 50.87514 1670 37.94
1649 0 0.16066 5.7119 50.83846 5.71418 50.83852 1670 37.912
1650 0.395231199263089 1.62737 5.64607 50.84577 5.65141 50.83154 1670 39.179
1652 NA 0.70076 5.72797 50.82898 5.7332 50.83434 1670 37.912
1644 0.320971820155631 2.42399 5.70889 50.8634 5.68278 50.84919 1670 39.252
1655 0.0970375869665875 2.09412 5.87749 51.01128 5.89542 50.99623 1670 38.003
1653 0.196803972713362 0.99712 5.87037 50.99781 5.87907 50.99072 1670 39.277
1662 0.199804159223826 0.98379 5.69533 50.85803 5.68803 50.85048 1670 39.26
1656 0.141941124115737 5.54523 5.69533 50.85803 5.7246 50.90431 1670 26.39
1657 0.146469005582582 1.32128 5.69533 50.85803 5.68278 50.84919 1670 39.239
1658 0.241803312589916 3.15501 5.69533 50.85803 5.66006 50.84053 1670 39.343
140 0 0.84529 4.34508 52.00245 4.35449 51.99756 1670 39.207
3253 0.117559945240639 1.74575 4.31691 52.05309 4.31086 52.03785 1670 37.978
3258 0 1.46422 4.36163 52.07593 4.34094 52.0792 1670 37.978
156 0.271483827105159 1.78888 4.35846 51.98166 4.35449 51.99756 1670 39.245
146 0.238209349796603 0.88825 4.35479 51.98908 4.36763 51.99005 1670 37.986
150 0 0.98829 4.34993 52.00598 4.35449 51.99756 1670 38.339
149 0.167910408393609 1.24005 4.32191 52.03016 4.334 52.03844 1670 37.999
148 0 1.34458 4.31014 52.01327 4.29055 52.01311 1670 39.252
151 0.218923713647835 0.90265 4.33214 52.03526 4.32191 52.03016 1670 39.252
143 0.151951003544446 1.27572 4.37257 52.00021 4.35449 51.99756 1670 39.245
160 0.182834480901772 1.14329 4.32191 52.03016 4.31086 52.03785 1670 37.996
220 0.139660623930194 0.88825 4.36763 51.99005 4.35479 51.98908 1670 39.245
154 0.25099608389344 0.84529 4.35771 52.05059 4.35555 52.04311 1670 37.978
158 0.203130600144049 1.65195 4.37226 52.00757 4.35449 51.99756 1670 39.361
227 0.234158328009239 0.90265 4.32191 52.03016 4.33214 52.03526 1670 37.992
153 0.330889659668949 1.48772 4.33736 51.98938 4.35449 51.99756 1670 39.182
155 0.159626909480817 2.0744 4.3847 51.99758 4.35449 51.99756 1670 39.364
251 0.125161172103109 5.91205 4.34662 52.05048 4.35449 51.99756 1670 39.245
218 0.15644373186091 1.24005 4.334 52.03844 4.32191 52.03016 1670 39.26
219 0 0.60848 4.36224 52.00021 4.35449 51.99756 1670 39.239
225 0 1.33415 4.36121 52.00881 4.35449 51.99756 1670 39.26
232 0.154344973944703 1.34458 4.29055 52.01311 4.31014 52.01327 1670 37.992
234 0.352514906857338 1.48772 4.35449 51.99756 4.33736 51.98938 1670 37.922
3256 0.834078742041341 4.26817 4.34099 51.98498 4.27888 51.98392 1670 39.172
224 0.723241450584694 0.74285 4.66468 52.13109 4.65576 52.13489 1670 38.084
226 0 1.01475 4.35038 52.0613 4.33736 52.05697 1670 39.245
2873 0.643401959413883 2.18975 6.61872 52.05126 6.59167 52.04081 1670 39.2
1377 0.0406634799610749 1.38254 6.48054 52.35941 6.50082 52.35991 1670 37.912
1391 2.8746865852769 1.76537 6.886 52.19267 6.86021 52.19337 1670 37.912
1379 0.505143496796507 1.29037 6.92174 52.22975 6.92529 52.21836 1670 39.172
2881 0.679148747772537 3.67221 6.61872 52.05126 6.67205 52.05421 1670 39.172
1389 0.512120629008703 4.20673 6.86021 52.19337 6.90383 52.22005 1670 39.277
3033 0.396851503806448 4.29097 6.90383 52.22005 6.84962 52.23953 1670 38.077
1380 0.526748537915214 4.23594 7.01064 52.30844 6.96835 52.28056 1670 39.172
1395 3.09591424436184 1.76537 6.86021 52.19337 6.886 52.19267 1670 39.172
2879 0.859909953218036 1.12683 6.90495 52.2128 6.89175 52.20673 1670 39.337
1401 0 0.41135 6.90383 52.22005 6.89799 52.21914 1670 37.992
1390 0.276454294081086 0.77334 6.89175 52.20673 6.8991 52.20145 1670 37.912
1384 0.848942018539694 0.78925 6.64015 52.10477 6.65119 52.10274 1670 39.172
1385 0.425946578987544 1.23755 6.89082 52.22814 6.90024 52.23764 1670 37.986
1396 0.713761185705221 1.12683 6.89175 52.20673 6.90495 52.2128 1670 38.077
1432 0.849672911176037 4.20673 6.90383 52.22005 6.86021 52.19337 1670 38.017
1382 0.318651828415059 0.66931 6.88099 52.22203 6.8796 52.22798 1670 38.084
1388 0.472313999565257 2.1979 6.89123 52.21772 6.85945 52.21466 1670 39.245
2886 1.39538126099345 0.629 6.86576 52.21179 6.87373 52.20896 1670 38.115
1415 0.461098198864296 2.39858 6.90383 52.22005 6.87373 52.20896 1670 37.912
1394 0.218564180548188 0.89904 6.89123 52.21772 6.90383 52.22005 1670 39.364
1393 1.84047768409422 1.15517 6.92497 52.3137 6.90806 52.31311 1670 39.172
1386 0 2.9639 6.63996 52.5847 6.63339 52.55836 1670 39.239
1397 0.700819900570474 4.23594 6.96835 52.28056 7.01064 52.30844 1670 37.912
1400 0.378964052066214 2.1979 6.85945 52.21466 6.89123 52.21772 1670 37.986
1399 0.812281905351812 1.78776 7.01238 52.24875 7.00541 52.26424 1670 37.912
1403 0.60524383237798 2.18975 6.59167 52.04081 6.61872 52.05126 1670 37.94
1398 0.653079704807062 3.81495 6.57577 51.91679 6.54361 51.88886 1670 38.077
1405 0.814156100037847 3.02317 6.61747 51.94189 6.57618 51.93254 1670 37.94
1404 1.11725356081407 2.40444 6.7362 51.97636 6.70811 51.96347 1670 37.912
1407 0.609182813190419 5.28507 6.9173 52.41168 6.91549 52.36419 1670 37.94
3037 0.532203842251428 3.05641 6.80605 52.38101 6.84176 52.39767 1670 38.007
3046 0.511518950723451 5.60995 6.90383 52.22005 6.96197 52.25566 1670 25.431
2872 0.723913470027904 3.67221 6.67205 52.05421 6.61872 52.05126 1670 37.912
1402 NA 0.33159 6.89123 52.21772 6.89314 52.22046 1670 39.239
1408 0.670866586340153 3.81495 6.54361 51.88886 6.57577 51.91679 1670 39.337
1579 0.210017696317953 2.95829 6.63486 52.36649 6.66757 52.384 1670 39.2
1409 0.569363937692128 5.12401 6.77613 51.94462 6.70811 51.96347 1670 38.077
1411 0.792952268001926 5.29431 6.77134 51.99067 6.70811 51.96347 1670 26.38
1421 0.47459298093688 6.11928 6.65833 52.18917 6.67852 52.13558 1670 26.439
1584 0.0487134914813152 3.74773 6.63486 52.36649 6.58036 52.36185 1670 39.228
1412 0.641039850376131 5.60995 6.96197 52.25566 6.90383 52.22005 1670 26.439
3049 0.602562798787592 4.29097 6.84962 52.23953 6.90383 52.22005 1670 39.337
1413 0.477489330195844 4.93007 6.58837 52.01197 6.52382 51.99256 1670 37.919
1414 0.3580019892103 1.78776 7.00541 52.26424 7.01238 52.24875 1670 39.172
1422 2.07734174944391 1.15517 6.90806 52.31311 6.92497 52.3137 1670 37.912
1416 0.576101503040112 2.02491 6.90233 52.1944 6.92925 52.20199 1670 37.912
2870 0.781854592387222 3.56241 6.77062 52.24179 6.74149 52.21523 1670 38.084
1419 0 0.41135 6.89799 52.21914 6.90383 52.22005 1670 39.252
1423 NA 2.34031 6.7588 52.24851 6.78369 52.26297 1670 38.077
1420 1.36346290617439 1.18868 6.78958 52.25056 6.77435 52.25574 1670 37.912
2884 0.251502141394584 2.04664 6.64068 52.33677 6.6699 52.34101 1670 37.999
1429 0.804409454609473 3.88714 6.7588 52.24851 6.74149 52.21523 1670 37.912
145 0 1.14329 4.31086 52.03785 4.32191 52.03016 1670 39.256
228 0.0104031754464908 4.61284 4.40021 52.08385 4.46483 52.09547 1670 39.239
235 0.113840431025302 1.67819 4.34099 51.98498 4.35449 51.99756 1670 39.228
244 NA 0.78402 4.35449 51.99756 4.34582 51.99297 1670 37.94
229 0.090206937780563 3.55608 4.37508 52.11393 4.37514 52.08196 1670 39.375
230 0 1.9765 4.39901 52.07201 4.37514 52.08196 1670 39.343
241 0 0.92709 4.67704 52.14403 4.68016 52.15214 1670 39.375
231 NA 0.89415 4.64683 52.12263 4.63641 52.12748 1670 37.978
152 0.278660396724651 1.74575 4.31086 52.03785 4.31691 52.05309 1670 39.239
233 0.366616007140351 1.42215 4.38982 52.03968 4.40737 52.04649 1670 38.077
223 0 0.61897 4.65782 52.14924 4.66063 52.15452 1670 39.361
142 0.22871848906082 2.09379 4.39937 52.09343 4.37514 52.08196 1670 39.343
238 0.467323245182055 2.46431 4.66843 52.11736 4.63641 52.12748 1670 37.992
240 0.35965905761257 2.16804 4.39114 52.06516 4.37514 52.08196 1670 39.337
255 0.220301322855554 0.95686 4.368 52.03913 4.35558 52.04305 1670 37.992
256 0.412626569497865 1.27572 4.35449 51.99756 4.37257 52.00021 1670 37.986
239 0.237950591194892 2.0266 4.36997 52.06403 4.37514 52.08196 1670 39.245
3259 0.172031596190024 2.95676 4.67341 52.18634 4.71454 52.17813 1670 37.912
236 0.0725200793871103 6.54215 4.40737 52.04649 4.35449 51.99756 1670 26.372
248 0.108926824285948 8.79473 4.48251 51.99996 4.35449 51.99756 1670 19.067
245 0.106173680830336 6.8543 4.70763 52.19771 4.66519 52.1419 1670 27.5
243 0.109813266060362 7.44754 4.45869 51.97903 4.35449 51.99756 1670 26.078
2906 0.0425538552768174 4.61284 4.46483 52.09547 4.40021 52.08385 1670 37.978
237 0.314119920372611 1.55741 4.65782 52.14924 4.64653 52.13708 1670 39.256
246 0.373463362978179 3.47498 4.70683 52.16648 4.70763 52.19771 1670 37.94
247 0.0247308100981865 2.04163 4.60259 52.13311 4.63137 52.13793 1670 39.172
242 0.344410066175053 1.42215 4.40737 52.04649 4.38982 52.03968 1670 39.337
3260 0.0285717444858915 4.97564 4.67341 52.18634 4.66519 52.1419 1670 26.327
266 0.233977466592477 6.54215 4.35449 51.99756 4.40737 52.04649 1670 25.364
